OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
21,Double Track,Woody Hill Management Area,None,3442.51985189
22,Double Track,Woody Hill Management Area,None,2236.77717344
23,Double Track,Woody Hill Management Area,None,691.101723537
24,Double Track,Woody Hill Management Area,None,1013.71762685
25,Double Track,Woody Hill Management Area,None,184.007824066
26,Double Track,Woody Hill Management Area,None,310.913110393
27,Double Track,Woody Hill Management Area,None,575.749393534
28,Double Track,Woody Hill Management Area,None,1994.26051673
29,Double Track,Woody Hill Management Area,None,1763.29963295
30,Single Track,Burlingame State Park,Gormley Trail,350.064472799
31,Double Track,Woody Hill Management Area,None,356.906044502
32,Gravel Road,Arcadia Management Area,None,5759.93864112
33,Gravel Road,Arcadia Management Area,None,10681.7752806
34,Gravel Road,Arcadia Management Area,None,223.403591722
35,Gravel Road,Arcadia Management Area,None,428.32613192
36,Gravel Road,Arcadia Management Area,None,1831.03690667
37,Gravel Road,Arcadia Management Area,None,390.609369367
38,Gravel Road,Arcadia Management Area,None,940.930764787
39,Gravel Road,Arcadia Management Area,None,873.637105498
40,Gravel Road,Arcadia Management Area,None,1293.4948999
41,Gravel Road,Woody Hill Management Area,poor condition,1250.16118223
42,Gravel Road,Woody Hill Management Area,poor condition,3678.86799258
43,Gravel Road,Woody Hill Management Area,poor condition,1340.31337921
44,Double Track,Woody Hill Management Area,poor condition,3142.0129173
45,Double Track,Wickaboxet Management Area,None,7477.73154871
46,Double Track,Wickaboxet Management Area,None,2059.2338193
47,Double Track,Wickaboxet Management Area,None,2215.07893165
48,Double Track,Wickaboxet Management Area,None,1370.9650323
49,Double Track,Wickaboxet Management Area,None,135.829600405
50,Double Track,Wickaboxet Management Area,None,3314.82775959
51,Double Track,Black Farm Management Area,None,996.136740631
52,Double Track,Black Farm Management Area,None,1236.11905855
53,Double Track,Black Farm Management Area,None,571.925377122
54,Double Track,Black Farm Management Area,None,243.238747792
55,Double Track,Black Farm Management Area,None,2624.34790421
56,Double Track,Black Farm Management Area,None,2317.8309822
57,Double Track,Black Farm Management Area,None,357.377195968
58,Double Track,Black Farm Management Area,None,1061.13354248
59,Single Track,Burlingame State Park,Gormley & North South yellow & blue,1388.77893278
60,Double Track,Burlingame State Park,None,316.942388728
61,Single Track,Burlingame State Park,Gormley & North South yellow & blue,2979.1151344
62,Single Track,Burlingame State Park,None,448.230349128
63,Single Track,Burlingame State Park,NORTH SOUTH TRAIL,1686.91851347
64,Single Track,Burlingame State Park,NORTH SOUTH TRAIL,3195.05957744
65,Double Track,Burlingame State Park,None,922.300716861
66,Double Track,Burlingame State Park,Gormley & North South yellow & blue,2489.52765681
67,Double Track,Burlingame State Park,"Gormley, yellow blaze",570.648889874
68,Double Track,Burlingame State Park,Gormley & North South yellow & blue,2679.53812827
69,Double Track,Burlingame State Park,None,1999.03701704
70,Double Track,Burlingame State Park,None,757.274817302
71,Single Track,Burlingame State Park,Gormley & North South yellow & blue,4492.07666251
72,Single Track,Burlingame State Park,COOP,3950.12030836
73,Single Track,Burlingame State Park,COOP,408.741825978
74,Single Track,Burlingame State Park,COOP,1988.57619716
75,Single Track,Burlingame State Park,COOP,565.60725057
76,Single Track,Burlingame State Park,COOP,1218.11708284
77,Single Track,Burlingame State Park,COOP,5525.9496682
78,Single Track,Burlingame State Park,COOP,5858.85493306
79,Double Track,Burlingame State Park,COOP,450.434155607
80,Gravel Road,Burlingame State Park,COOP,3597.18624808
81,Double Track,Burlingame State Park,COOP,2578.44759207
82,Double Track,Burlingame State Park,COOP,1662.26338602
83,Single Track,Burlingame State Park,Gormley Trail yellow blaze,1247.59281984
84,Gravel Road,Burlingame Management Area,None,1687.49096161
85,Double Track,Burlingame State Park,None,585.712837702
86,Single Track,Burlingame Management Area,"White blaze, trail is poor",3732.20029986
87,Double Track,Burlingame Management Area,white blaze,3036.967997
88,Double Track,Burlingame Management Area,dead end,2873.21361701
89,Double Track,Burlingame Management Area,None,1582.67338643
90,Single Track,Burlingame Management Area,"needs work, blowdowns",2205.01551333
