45.9487,-121.9353, NF-3059, Carson, WA 98610, USA
45.9654,-121.342, Unnamed Road, Glenwood, WA 98619, USA
45.9731,-121.3419, Unnamed Road, Glenwood, WA 98619, USA
45.9811,-121.7582, NF-6035, Trout Lake, WA 98650, USA
45.9813,-121.758, NF-6035, Trout Lake, WA 98650, USA
46.0057,-121.8391, NF-65, N/A, Washington, USA
46.0097,-121.9017, McClellan Meadows Sno-Park, NF-3053, Washington, USA
46.0184,-121.7748, N/A, Skamania County, WA, USA
46.0221,-117.0276, 47346 Joseph Creek Rd, Anatone, WA 99401, USA
46.0223,-117.5466, NF-4039, Pomeroy, WA 99347, USA
46.0303,-121.6874, NF-24, Trout Lake, WA 98650, USA
46.0426,-118.9404, US-730, Kennewick, WA 99337, USA
46.0462,-122.1949, Mitchell Peak Trail, Carson, WA 98610, USA
46.0471,-121.7561, NF-24, Trout Lake, WA 98650, USA
46.0471,-121.7561, NF-24, Trout Lake, WA 98650, USA
46.048,-121.7548, NF-24, Trout Lake, WA 98650, USA
46.0603,-121.9707, NF-9039, Cougar, WA 98616, USA
46.0608,-121.9721, NF-9039, Cougar, WA 98616, USA
46.0618,-117.8441, NF-420, Dayton, WA 99328, USA
46.0635,-118.9532, Ayers Rd, Kennewick, WA 99337, USA
46.066,-118.2644, Meadowlark Trail, Walla Walla, WA 99362, USA
46.0678,-118.9027, N Shore Rd, Burbank, WA 99323, USA
46.0801,-117.1685, 992 Park Rd, Anatone, WA 99401, USA
46.0847,-121.5023, NF-8020, N/A, Washington, USA
46.0851,-121.6576, NF-040, Trout Lake, WA 98650, USA
46.0888,-117.6277, N/A, Dayton, WA 99328, USA
46.0916,-117.8454, NF-700, Dayton, WA 99328, USA
46.0917,-121.7662, Pacific Crest Trail, N/A, Washington, USA
46.0932,-121.48, NF-150, Glenwood, WA 98619, USA
46.0938,-121.7683, NF-24, N/A, Washington, USA
46.0939,-121.9073, NF-90, N/A, Washington, USA
46.0993,-122.2136, NF-8303, Cougar, WA 98616, USA
46.1022,-121.9065, NF-90, N/A, Washington, USA
46.1029,-121.4346, NF-8290, Trout Lake, WA 98650, USA
46.1035,-122.216, NF-8303, Cougar, WA 98616, USA
46.1083,-122.2115, NF-8303, Cougar, WA 98616, USA
46.1116,-122.0183, NFD 25, Cougar, WA 98616, USA
46.1127,-117.7468, NF-090, Dayton, WA 99328, USA
46.1182,-117.7144, N/A, Dayton, WA 99328, USA
46.1192,-117.5367, Diamond Creek Rd, Pomeroy, WA 99347, USA
46.1192,-117.5367, Diamond Creek Rd, Pomeroy, WA 99347, USA
46.1216,-121.5612, Crofton Ridge Trail, NF-050, WA, United States
46.1292,-122.9428, 1718 E Kessler Blvd, Longview, WA 98632, USA
46.1298,-121.8392, NF-32, N/A, Washington, USA
46.1298,-121.8392, NF-32, N/A, Washington, USA
46.1352,-122.1569, NF-83, Cougar, WA 98616, USA
46.1359,-117.8087, N Touchet Rd, Dayton, WA 99328, USA
46.1365,-121.498, S Climb Trail, N/A, Washington, USA
46.1373,-122.1569, NF-83, Cougar, WA 98616, USA
46.1393,-121.4376, BIA Rd 304, Trout Lake, WA 98650, USA
46.1405,-121.5977, NF-120, N/A, Washington, USA
46.1426,-122.1827, 830 Rd, Cougar, WA 98616, USA
46.1435,-122.2351, 8100 Rd, Cougar, WA 98616, USA
46.1458,-122.1834, 830 Rd, Cougar, WA 98616, USA
46.1458,-122.1834, 830 Rd, Cougar, WA 98616, USA
46.1461,-122.1835, 830 Rd, Cougar, WA 98616, USA
46.1471,-121.7537, NF-095, N/A, Washington, USA
46.1543,-122.1018, NF-8320, Cougar, WA 98616, USA
46.1605,-121.5436, N/A, Round-the-Mountain Trail, Washington, USA
46.1607,-121.4026, BIA Rd 208, N/A, Washington, USA
46.1632,-121.8736, NF-100, N/A, Washington, USA
46.1647,-122.0921, NF-83, Cougar, WA 98616, USA
46.1654,-122.089, NF-83, Cougar, WA 98616, USA
46.1691,-122.2601, National Forest Develop Rd 8123 Rd, Ariel, WA 98603, USA
46.1691,-122.2601, National Forest Develop Rd 8123 Rd, Ariel, WA 98603, USA
46.1695,-122.2614, National Forest Develop Rd 8123 Rd, Ariel, WA 98603, USA
46.1701,-121.6292, NF-521, N/A, Washington, USA
46.1716,-117.7212, NF-4713, Dayton, WA 99328, USA
46.1725,-121.9305, NF-93, N/A, Washington, USA
46.1731,-121.9257, NF-93, N/A, Washington, USA
46.1826,-122.0546, NF-83, Cougar, WA 98616, USA
46.1827,-121.8489, NF-90, N/A, Washington, USA
46.1886,-117.6253, Tucannon Rd, Pomeroy, WA 99347, USA
46.1887,-117.6185, Tucannon Rd, Pomeroy, WA 99347, USA
46.189,-117.6194, Tucannon Rd, Pomeroy, WA 99347, USA
46.1978,-121.7813, NF-90, N/A, Washington, USA
46.1989,-121.0593, Unnamed Road, N/A, Washington, USA
46.2001,-117.8164, 1229 N Touchet Rd, Dayton, WA 99328, USA
46.2022,-122.2677, N/A, Ariel, WA 98603, USA
46.2043,-117.7058, NF-4712, Pomeroy, WA 99347, USA
46.2061,-117.7059, NF-4712, Pomeroy, WA 99347, USA
46.2087,-121.9018, NF-9328, N/A, Washington, USA
46.2133,-121.9163, NF-9327, N/A, Washington, USA
46.2303,-121.8654, NF-9331, N/A, Washington, USA
46.2323,-121.6272, NF-23, N/A, Washington, USA
46.2367,-119.2976, 1431 Badger Mountain Loop, Richland, WA 99352, USA
46.2376,-122.1442, NF-99, Cougar, WA 98616, USA
46.2423,-119.3457, 5214 Dallas Rd, Richland, WA 99352, USA
46.248,-121.8154, Unnamed Road, N/A, Washington, USA
46.2489,-122.1361, NF-99, Cougar, WA 98616, USA
46.2497,-122.1363, NF-99, Cougar, WA 98616, USA
46.2499,-122.1361, NF-99, Cougar, WA 98616, USA
46.2499,-122.1362, NF-99, Cougar, WA 98616, USA
46.2542,-123.921, Scarborough Trail, Chinook, WA 98614, USA
46.2565,-123.4364, Steamboat Slough Rd, Cathlamet, WA 98612, USA
46.2615,-117.2987, Asotin Rd, Clarkston, WA 99403, USA
46.2629,-121.6329, Boundary Trail, N/A, Washington, USA
46.2649,-122.9009, 1780 Huntington Ave S, Castle Rock, WA 98611, USA
46.2693,-121.5786, NF-2329, N/A, Washington, USA
46.2728,-121.565, NF-2329, N/A, Washington, USA
46.2745,-122.1042, Harmony Trail, Cougar, WA 98616, USA
46.2756,-121.7435, NF-2325, N/A, Washington, USA
46.2765,-122.2165, 24000 Spirit Lake Hwy, Toutle, WA 98649, USA
46.2765,-122.2165, 24000 Spirit Lake Hwy, Toutle, WA 98649, USA
46.2765,-122.2165, 24000 Spirit Lake Hwy, Toutle, WA 98649, USA
46.2766,-121.5992, Takhkakh Loop Rd, N/A, Washington, USA
46.2767,-122.2168, 24000 Spirit Lake Hwy, Cougar, WA 98616, USA
46.2778,-121.7943, NF-29, N/A, Washington, USA
46.2869,-122.2717, 21000 Spirit Lake Hwy, Toutle, WA 98649, USA
46.2869,-122.2717, 21000 Spirit Lake Hwy, Toutle, WA 98649, USA
